LinkedIn export

Post title,Post link,Post type,Campaign name,Posted by,Created date,Campaign start date,Campaign end date,Audience,Impressions,Views,Offsite Views,Clicks,Click through rate (CTR),Likes,Comments,Reposts,Follows,Engagement rate,Content Type
"The bar was always high. They built it higher.

The Founders Awards are not about tenure. Not about titles. Not about who was in the room when the big decisions were made. They are about who made the big decisions feel possible, through clarity when things were murky, through courage when things were hard, through consistency when it would have been easier to look away.

0.1% of Cars24 received this honour. That number is small by design. Because what they represent is rare by nature.

Congratulations to every winner. You didn't just build Cars24. You became the reason others believe it can be built further.

Vikram Ruchit
Apoorv Manvi Utkarsh Naveen Sanyam Harshal Naveen Raman Akshay Shivdayal Akriti CHANDAN",https://www.linkedin.com/feed/update/urn:li:activity:7454431289929150464,Organic,,Sakshi Agarwal ,04/27/2026,,,All followers,55566,,,28278,0.5089083313941956,661,49,2,,0.5217218995094299,
We’re about to break the internet (and maybe build it again). Stay tuned 👾 ,https://www.linkedin.com/feed/update/urn:li:activity:7452253299543818240,Organic,,Sakshi Agarwal ,04/21/2026,,,All followers,9475,2583.0,,270,0.028496041893959045,83,26,5,,0.04052770510315895,Video
"It’s always been you vs you. 💪 

#hyrox 
HYROX INDIA ",https://www.linkedin.com/feed/update/urn:li:activity:7450490890969694210,Organic,,Sakshi Agarwal ,04/16/2026,,,All followers,33797,,,25727,0.7612214088439941,342,10,2,,0.7716957330703735,
"In 2024, India lost 1,80,000 people on its roads. One every three minutes. 66% of them were between 18 and 34. Nearly 10,000 were school students.

Seven in ten of these deaths were caused by overspeeding. An individual's choice, not a necessity.

This reality compelled us to start Crashfree India, because as an enterprise that puts as many cars on Indian roads as we do, we cannot look away from what happens on them. And the more we have worked on this, the clearer one thing has become: infrastructure alone will not fix this.

What we need is a cultural and mindset shift. In how we think about speed, about the road, and about the lives around us every time we drive.

Today, we are proud to welcome MS Dhoni as Goodwill Ambassador for Crashfree India, to strengthen and amplify this commitment.

Having someone like him, gives it exactly the kind of priority it deserves. Because as Dhoni says, we need to stop calling reckless driving a skill. If we all drive with a sense of responsibility, thousands of lives will be saved.

With him on board, the intention is to shift behaviour at scale, make responsibility visible, and make safe driving something people take pride in.

Welcome, MS.",https://www.linkedin.com/feed/update/urn:li:activity:7449367024855580673,Organic,,Sakshi Agarwal ,04/13/2026,,,All followers,7798,,,185,0.023724032565951347,84,48,5,,0.04129263758659363,
"We spoke to a 22 year old in Delhi who lost both his parents in a car crash. It has been 1.5 years and he is still waiting for compensation. He is now overburdened by debt and cannot afford to pay his college fees.

His story is just one of the many we heard while speaking to families who lost their loved ones in a crash, only to be hurt by the very system that was built to protect them.

India has comprehensive road crash compensation laws. But for victims, seeing that money means navigating a process that is fragmented, slow, and difficult to understand at a time when you are least equipped to deal with it. And this is possibly why over Rs 80,000 crore in claims remain unpaid across the country.

While there are countless infrastructure initiatives focused on preventing crashes, the post-crash experience rarely gets the same attention. That gap is exactly what Crashfree India has spent the last six months trying to understand and address.

We mapped where the implementation of compensation policies falls short. We built multilingual legal awareness tools, visual explainers, and are in the process of developing AASHA, an AI-enabled chatbot that walks victims through their rights step by step in the language they understand. While also working with the Gurugram Police to proactively identify eligible hit-and-run cases and help families navigate claims they never knew they could make.

The report below captures this journey end to end. It documents the key bottlenecks in India's compensation process and lays the groundwork for the policy and institutional reforms needed to make justice accessible, timely and equitable for every victim.

Because compensation after a crash should not depend on awareness or luck. Period. ",https://www.linkedin.com/feed/update/urn:li:activity:7445719240818700288,Organic,,Sakshi Agarwal ,04/03/2026,,,All followers,11528,,,5111,0.4433553218841553,49,25,2,,0.44994795322418213,
"On December 14, 1983, a retired government officer in Delhi took delivery of a small white car. He didn't know he was holding a piece of history.

For decades, the average Indian family could only dream of owning a car. The Ambassador was too expensive. The Premier Padmini was a city thing. And then came the Maruti 800 — ₹47,500. Simple. Reliable. Small enough for city lanes. Big enough for a family of four and all their hope.

It wasn't just a car. It was the moment the middle class said: we belong here too.

Millions of Indians learned to drive in an 800. Got married, moved cities, drove parents to hospitals, taught their kids on empty Sunday roads — all in that same little machine.

Some of those cars are still running. And some of them come to us.

#Cars24 #Maruti800 #IndianCarHistory #Automotive #UsedCars",https://www.linkedin.com/feed/update/urn:li:activity:7442828190433275904,Organic,,Prachi Sharma,03/26/2026,,,All followers,29589,,,286,0.00966575462371111,45,24,0,,0.011997701600193977,
"You are driving right now with an invention made for a man who couldn't turn his head.

Ray Harroun was racing at the first ever Indianapolis 500 in 1911. Every other driver had a mechanic sitting beside them, someone to watch the cars behind. Harroun didn't want the extra weight. So he bolted a small mirror to the front of his car. Angled it. And raced alone.

He won.

The rearview mirror wasn't born in a lab. Not by an engineer with a whiteboard. It was born from desperation, on a racetrack, at 100 miles per hour.

Every car you've ever driven has one. Every car ever sold on Cars24 has one. Some inventions are so simple they disappear into the background, until you realise someone had to be the first person to think of them.

#Cars24 #CarHistory #Automotive #DidYouKnow #IndianUsedCars",https://www.linkedin.com/feed/update/urn:li:activity:7442111596627345408,Organic,,Prachi Sharma,03/24/2026,,,All followers,16427,,,176,0.010714068077504635,40,3,1,,0.013392585329711437,
"We kept talking after Women’s Day. Here’s why:

In this special episode of Take a Brake, we explore this year's theme, Give to Gain.
How women can give meaningfully without burning out and what we gain when we choose boundaries, support and self-investment.

Hosted by Dr. Sukhmani Pal, this panel brings together four incredible women for an honest, practical chat on real-life themes: ambition, rest, mental health, beauty standards, marriage pressure, motherhood and the constant balancing of expectations.

Women give a lot to work, family, society and often everyone else first. This conversation is about giving in a way that doesn’t leave you empty and redefining “gain” beyond promotions: health, clarity, confidence, community and choice.

Catch the episode and stay until the end for a takeaway you don't want to miss: https://lnkd.in/gQBmXt5T

Priyanka Arora Akashjot Kaur Richa Bansal Anubha Khanna 
Vikram Chopra Mehul Agrawal Ruchit Agarwal Gajendra Jangid

Creative Direction: Subarna Barua
Creative Editor: Sakshi Agarwal",https://www.linkedin.com/feed/update/urn:li:activity:7439222775682301952,Organic,,Sakshi Agarwal ,03/16/2026,,,All followers,12434,,,240,0.019301913678646088,29,7,6,,0.022679749876260757,
,https://www.linkedin.com/feed/update/urn:li:activity:7438186492646113280,Organic,,Sakshi Agarwal ,03/13/2026,,,All followers,4641,14931.0,,38,0.008187890984117985,32,5,0,,0.016160311177372932,Article
In case you’re still not over last night… same here 💙 🇮🇳 ,https://www.linkedin.com/feed/update/urn:li:activity:7436658209794322433,Organic,,Sakshi Agarwal ,03/09/2026,,,All followers,7312,,,144,0.019693654030561447,83,7,2,,0.03227571025490761,
