LinkedIn export

Date,Overview page views (desktop),Overview page views (mobile),Overview page views (total),Overview unique visitors (desktop),Overview unique visitors (mobile),Overview unique visitors (total),Life page views (desktop),Life page views (mobile),Life page views (total),Life unique visitors (desktop),Life unique visitors (mobile),Life unique visitors (total),Jobs page views (desktop),Jobs page views (mobile),Jobs page views (total),Jobs unique visitors (desktop),Jobs unique visitors (mobile),Jobs unique visitors (total),Total page views (desktop),Total page views (mobile),Total page views (total),Total unique visitors (desktop),Total unique visitors (mobile),Total unique visitors (total)
02/16/2026,227,346,573,169,264,431,0,0,0,0,0,0,93,406,499,75,278,352,558,1065,1623,201,450,645
02/17/2026,246,543,789,173,392,562,0,0,0,0,0,0,85,453,538,64,312,375,535,1332,1867,191,547,733
02/18/2026,294,517,811,207,416,620,0,0,0,0,0,0,106,455,561,89,289,378,1083,1350,2433,236,561,793
02/19/2026,334,727,1061,230,541,767,0,0,0,0,0,0,101,598,699,81,401,479,675,1806,2481,251,722,968
02/20/2026,351,653,1004,237,512,747,0,0,0,0,0,0,141,590,731,112,377,488,735,1734,2469,264,678,939
02/21/2026,167,448,615,111,328,436,0,0,0,0,0,0,69,380,449,52,234,286,356,1081,1437,127,463,587
02/22/2026,95,394,489,70,320,387,0,0,0,0,0,0,49,336,385,39,227,266,220,1012,1232,85,421,503
02/23/2026,280,480,760,205,357,561,0,0,0,0,0,0,91,402,493,73,268,339,664,1201,1865,225,489,711
02/24/2026,273,504,777,186,374,559,0,0,0,0,0,0,75,499,574,65,317,381,560,1349,1909,204,534,733
02/25/2026,218,385,603,167,302,467,0,0,0,0,0,0,87,463,550,76,285,358,571,1175,1746,202,467,661
02/26/2026,208,398,606,163,296,457,0,0,0,0,0,0,63,358,421,54,237,289,421,1010,1431,177,402,575
02/27/2026,182,318,500,136,252,384,0,0,0,0,0,0,55,313,368,44,216,259,370,931,1301,145,390,531
02/28/2026,87,256,343,63,189,251,0,0,0,0,0,0,47,315,362,36,211,246,205,755,960,77,348,424
03/01/2026,54,222,276,46,161,207,0,0,0,0,0,0,29,231,260,24,163,187,123,590,713,51,265,316
03/02/2026,239,368,607,180,253,433,0,0,0,0,0,0,87,288,375,67,206,273,487,900,1387,205,369,574
03/03/2026,121,301,422,95,211,306,0,0,0,0,0,0,35,308,343,31,187,217,234,810,1044,103,317,419
03/04/2026,118,231,349,87,181,267,0,0,0,0,0,0,56,224,280,44,154,196,287,639,926,97,257,352
03/05/2026,152,271,423,122,208,330,0,0,0,0,0,0,66,304,370,50,203,253,555,804,1359,143,316,459
03/06/2026,153,336,489,113,234,344,0,0,0,0,0,0,53,241,294,49,174,223,392,822,1214,131,328,456
03/07/2026,81,279,360,66,223,288,0,0,0,0,0,0,48,301,349,35,194,229,192,830,1022,77,326,402
03/08/2026,63,360,423,50,298,348,0,0,0,0,0,0,36,347,383,29,250,278,141,982,1123,63,444,506
03/09/2026,296,596,892,217,432,647,0,0,0,0,0,0,100,477,577,81,353,432,626,1505,2131,251,672,919
03/10/2026,252,572,824,191,418,607,0,0,0,0,0,0,95,488,583,75,346,421,639,1480,2119,222,631,851
03/11/2026,300,547,847,220,432,650,0,0,0,0,0,0,70,432,502,57,300,355,610,1364,1974,245,594,835
03/12/2026,262,402,664,176,319,494,0,0,0,0,0,0,69,341,410,58,241,299,530,1018,1548,192,463,653
03/13/2026,193,357,550,142,257,398,0,0,0,0,0,0,65,295,360,54,212,264,519,915,1434,167,376,538
03/14/2026,110,300,410,78,207,283,0,0,0,0,0,0,48,280,328,38,192,230,218,885,1103,90,327,414
03/15/2026,103,246,349,65,183,247,0,0,0,0,0,0,40,208,248,31,163,193,212,628,840,69,281,348
03/16/2026,197,376,573,147,276,423,0,0,0,0,0,0,65,367,432,54,249,303,481,1056,1537,165,405,569
03/17/2026,204,429,633,152,301,452,0,0,0,0,0,0,76,335,411,63,262,325,503,1088,1591,186,433,618
03/18/2026,184,378,562,132,290,422,0,0,0,0,0,0,63,317,380,49,242,291,442,973,1415,156,416,572
03/19/2026,146,268,414,115,206,319,0,0,0,0,0,0,29,289,318,28,206,234,429,780,1209,135,321,454
03/20/2026,142,276,418,104,206,309,0,0,0,0,0,0,58,217,275,45,175,220,343,737,1080,126,302,426
03/21/2026,66,277,343,47,184,230,0,0,0,0,0,0,30,168,198,22,141,162,157,607,764,60,247,305
03/22/2026,70,254,324,53,176,229,0,0,0,0,0,0,37,198,235,29,152,181,189,628,817,62,253,315
03/23/2026,236,403,639,180,318,495,0,0,0,0,0,0,107,361,468,85,242,324,534,1060,1594,216,435,646
03/24/2026,224,403,627,159,297,456,0,0,0,0,0,0,71,389,460,65,252,315,626,1063,1689,184,429,611
03/25/2026,172,375,547,125,279,404,0,0,0,0,0,0,60,331,391,53,224,277,401,962,1363,152,383,535
03/26/2026,246,456,702,186,365,547,0,0,0,0,0,0,77,422,499,67,287,353,541,1174,1715,210,495,699
03/27/2026,179,329,508,129,237,365,0,0,0,0,0,0,62,309,371,50,215,264,460,904,1364,148,349,493
03/28/2026,95,225,320,72,182,254,0,0,0,0,0,0,50,183,233,42,134,175,236,560,796,86,245,330
03/29/2026,65,200,265,49,157,206,0,0,0,0,0,0,33,178,211,28,130,158,150,492,642,60,229,289
03/30/2026,166,261,427,124,206,330,0,0,0,0,0,0,69,269,338,56,181,237,465,752,1217,146,307,453
03/31/2026,165,297,462,125,224,349,0,0,0,0,0,0,66,226,292,51,168,219,362,674,1036,141,301,441
04/01/2026,183,410,593,121,287,407,0,0,0,0,0,0,63,329,392,49,226,275,416,1035,1451,147,415,561
04/02/2026,194,348,542,129,270,398,0,0,0,0,0,0,73,290,363,57,208,265,453,915,1368,147,379,525
04/03/2026,149,348,497,113,275,387,0,0,0,0,0,0,61,302,363,53,223,276,294,903,1197,124,379,502
04/04/2026,96,308,404,59,258,317,0,0,0,0,0,0,31,276,307,21,196,217,263,797,1060,66,346,412
04/05/2026,70,279,349,48,211,259,0,0,0,0,0,0,30,238,268,26,164,190,183,754,937,60,296,356
04/06/2026,179,322,501,125,236,359,0,0,0,0,0,0,63,272,335,51,186,236,388,886,1274,144,327,468
04/07/2026,217,275,492,153,214,365,0,0,0,0,0,0,70,220,290,55,168,222,457,700,1157,172,307,476
04/08/2026,201,372,573,143,281,424,0,0,0,0,0,0,68,301,369,59,212,270,500,1004,1504,170,398,567
04/09/2026,213,414,627,155,316,470,0,0,0,0,0,0,48,296,344,40,219,257,456,1000,1456,171,410,579
04/10/2026,194,346,540,151,278,427,0,0,0,0,0,0,72,302,374,57,225,282,462,911,1373,170,388,555
04/11/2026,88,256,344,52,194,246,0,0,0,0,0,0,36,262,298,29,187,216,210,731,941,73,318,389
04/12/2026,68,268,336,58,208,265,0,0,0,0,0,0,43,253,296,34,180,213,205,741,946,67,329,394
04/13/2026,188,343,531,136,254,390,0,0,0,0,0,0,74,344,418,63,251,314,673,970,1643,167,404,571
04/14/2026,218,414,632,151,316,466,0,0,0,0,0,0,66,372,438,57,255,312,552,1087,1639,168,449,616
04/15/2026,183,343,526,120,265,384,0,0,0,0,0,0,64,283,347,49,197,246,385,842,1227,142,378,517
04/16/2026,48,121,169,35,95,129,0,0,0,0,0,0,15,145,160,14,97,110,113,374,487,42,153,193
04/17/2026,176,351,527,117,273,389,0,0,0,0,0,0,62,378,440,52,277,329,359,1015,1374,135,422,556
04/18/2026,88,408,496,63,310,373,0,0,0,0,0,0,53,413,466,39,253,292,215,1086,1301,79,443,521
04/19/2026,84,376,460,63,279,342,0,0,0,0,0,0,47,351,398,34,228,262,179,988,1167,74,413,487
04/20/2026,307,590,897,215,461,670,0,0,0,0,0,0,122,516,638,101,317,417,752,1457,2209,242,628,861
04/21/2026,239,417,656,181,320,497,0,0,0,0,0,0,86,414,500,61,262,322,555,1133,1688,202,471,668
04/22/2026,212,369,581,138,267,404,0,0,0,0,0,0,63,365,428,51,216,267,447,1001,1448,158,377,533
04/23/2026,230,417,647,147,307,454,0,0,0,0,0,0,65,385,450,53,227,279,476,1054,1530,167,426,592
04/24/2026,165,366,531,120,276,395,0,0,0,0,0,0,55,330,385,48,200,248,323,949,1272,141,368,508
04/25/2026,74,235,309,52,175,227,0,0,0,0,0,0,29,269,298,25,160,185,147,696,843,58,271,328
04/26/2026,72,265,337,57,198,255,0,0,0,0,0,0,40,261,301,32,164,196,168,753,921,67,288,355
04/27/2026,179,342,521,143,239,379,0,0,0,0,0,0,67,379,446,56,211,264,444,1031,1475,166,370,530
04/28/2026,220,289,509,129,220,348,0,0,0,0,0,0,56,343,399,48,209,257,466,897,1363,152,341,488
04/29/2026,258,516,774,191,394,585,0,0,0,0,0,0,96,445,541,81,283,364,570,1273,1843,220,548,768
04/30/2026,253,566,819,185,445,628,0,0,0,0,0,0,105,577,682,86,381,466,613,1618,2231,241,693,931
05/01/2026,161,490,651,112,359,470,0,0,0,0,0,0,59,458,517,54,278,332,379,1359,1738,133,517,649
05/02/2026,105,364,469,83,266,346,0,0,0,0,0,0,45,343,388,42,209,250,230,1020,1250,98,395,490
05/03/2026,95,304,399,70,232,302,0,0,0,0,0,0,45,306,351,38,182,220,216,897,1113,81,344,424
05/04/2026,164,323,487,120,247,367,0,0,0,0,0,0,61,329,390,49,192,241,439,891,1330,140,350,489
05/05/2026,254,350,604,181,254,435,0,0,0,0,0,0,85,461,546,73,276,348,536,1110,1646,214,432,645
05/06/2026,234,366,600,167,283,448,0,0,0,0,0,0,80,360,440,71,223,293,527,1035,1562,192,388,577
05/07/2026,229,346,575,159,241,400,0,0,0,0,0,0,87,418,505,79,250,329,541,1070,1611,195,398,592
05/08/2026,158,325,483,114,257,369,0,0,0,0,0,0,60,394,454,43,233,276,362,1011,1373,143,399,539
05/09/2026,71,227,298,58,167,225,0,0,0,0,0,0,39,237,276,34,146,180,171,680,851,70,256,326
05/10/2026,81,210,291,61,168,229,0,0,0,0,0,0,47,278,325,42,180,221,180,679,859,72,275,346
05/11/2026,232,363,595,157,277,431,0,0,0,0,0,0,98,352,450,83,220,302,565,1000,1565,194,392,581
05/12/2026,183,365,548,139,296,435,0,0,0,0,0,0,82,427,509,65,265,330,420,1070,1490,171,449,620
05/13/2026,307,1485,1792,226,966,1187,0,0,0,0,0,0,97,666,763,79,405,483,673,2594,3267,259,1177,1430
05/14/2026,268,856,1124,201,589,789,0,0,0,0,0,0,69,377,446,62,265,326,554,1490,2044,224,703,926
05/15/2026,179,494,673,141,366,506,0,0,0,0,0,0,52,418,470,49,250,299,393,1226,1619,156,480,634
05/16/2026,99,353,452,69,255,323,0,0,0,0,0,0,36,263,299,32,162,194,218,858,1076,80,348,427
05/17/2026,68,380,448,52,276,328,0,0,0,0,0,0,30,303,333,25,174,199,125,895,1020,55,371,426
05/18/2026,178,992,1170,138,721,857,0,0,0,0,0,0,49,380,429,43,230,273,405,1644,2049,157,823,976
05/19/2026,201,566,767,147,430,576,0,0,0,0,0,0,64,347,411,58,192,249,483,1213,1696,180,535,713
05/20/2026,204,472,676,142,351,492,0,0,0,0,0,0,70,325,395,57,191,248,485,1145,1630,163,446,608
05/21/2026,232,382,614,149,287,434,0,0,0,0,0,0,61,315,376,48,192,240,528,978,1506,168,390,556
05/22/2026,146,302,448,108,244,351,0,0,0,0,0,0,61,281,342,46,175,219,328,800,1128,123,328,447
05/23/2026,80,259,339,50,208,258,0,0,0,0,0,0,29,217,246,25,138,163,157,632,789,59,296,355
05/24/2026,81,294,375,57,220,274,0,0,0,0,0,0,44,299,343,35,195,230,190,814,1004,75,335,406
05/25/2026,249,549,798,179,405,580,0,0,0,0,0,0,105,516,621,87,309,394,594,1476,2070,211,581,787
05/26/2026,241,467,708,175,336,511,0,0,0,0,0,0,66,403,469,54,235,289,658,1193,1851,190,443,633
05/27/2026,221,426,647,166,290,455,0,0,0,0,0,0,47,358,405,42,217,258,640,1085,1725,192,409,599
05/28/2026,149,360,509,108,275,383,0,0,0,0,0,0,55,326,381,46,208,253,370,963,1333,123,384,506
05/29/2026,163,373,536,126,251,376,0,0,0,0,0,0,55,255,310,50,165,215,409,857,1266,154,334,487
05/30/2026,83,328,411,60,215,274,0,0,0,0,0,0,28,206,234,25,127,152,196,815,1011,72,299,370
05/31/2026,85,271,356,45,204,249,0,0,0,0,0,0,37,216,253,32,134,166,188,633,821,54,288,342
06/01/2026,254,791,1045,193,586,777,0,0,0,0,0,0,80,510,590,70,332,400,599,1799,2398,229,759,983
06/02/2026,247,682,929,194,498,689,0,0,0,0,0,0,88,459,547,72,313,384,533,1511,2044,224,645,865
06/03/2026,247,449,696,186,341,525,0,0,0,0,0,0,101,387,488,74,251,324,623,1070,1693,214,476,688
06/04/2026,199,498,697,150,369,516,0,0,0,0,0,0,76,502,578,66,327,392,452,1280,1732,182,574,751
06/05/2026,184,700,884,143,534,676,0,0,0,0,0,0,71,457,528,63,286,349,508,1497,2005,165,686,850
06/06/2026,74,390,464,54,303,357,0,0,0,0,0,0,45,454,499,38,259,296,164,1075,1239,77,462,538
06/07/2026,82,336,418,62,260,322,0,0,0,0,0,0,50,366,416,42,221,263,192,937,1129,79,377,456
06/08/2026,211,462,673,164,366,527,0,0,0,0,0,0,69,348,417,62,223,285,543,1104,1647,194,478,668
06/09/2026,230,430,660,168,331,499,0,0,0,0,0,0,77,391,468,71,239,310,562,1123,1685,199,444,642
06/10/2026,234,429,663,156,317,472,0,0,0,0,0,0,68,334,402,55,212,267,592,1039,1631,176,423,597
06/11/2026,180,400,580,131,296,426,0,0,0,0,0,0,76,431,507,66,281,346,530,1133,1663,165,471,635
06/12/2026,157,345,502,112,254,365,0,0,0,0,0,0,51,297,348,44,186,229,390,814,1204,128,340,467
06/13/2026,97,348,445,51,262,312,0,0,0,0,0,0,25,286,311,23,170,191,231,871,1102,62,328,388
06/14/2026,101,384,485,57,271,327,0,0,0,0,0,0,42,276,318,36,187,223,217,869,1086,68,356,423
06/15/2026,212,430,642,155,307,459,0,0,0,0,0,0,92,383,475,78,233,308,510,1102,1612,183,423,602
06/16/2026,254,493,747,175,377,550,0,0,0,0,0,0,86,418,504,73,243,316,605,1211,1816,197,488,682
06/17/2026,282,776,1058,195,589,778,0,0,0,0,0,0,93,529,622,79,322,400,618,1599,2217,223,705,921
06/18/2026,171,473,644,144,361,503,0,0,0,0,0,0,41,308,349,36,179,215,437,1030,1467,160,425,583
06/19/2026,138,336,474,102,262,363,0,0,0,0,0,0,49,320,369,36,183,219,353,851,1204,114,334,447
06/20/2026,79,218,297,52,165,214,0,0,0,0,0,0,37,230,267,29,134,163,150,595,745,60,228,285
06/21/2026,49,239,288,40,186,225,0,0,0,0,0,0,37,346,383,29,216,245,160,820,980,58,353,410
06/22/2026,175,386,561,133,286,417,0,0,0,0,0,0,59,290,349,47,191,237,476,929,1405,153,365,515
06/23/2026,165,410,575,141,300,440,0,0,0,0,0,0,79,493,572,68,312,377,419,1175,1594,178,469,642
06/24/2026,190,374,564,138,297,435,0,0,0,0,0,0,67,439,506,54,262,315,530,1067,1597,161,452,611
06/25/2026,169,365,534,117,282,397,0,0,0,0,0,0,56,298,354,49,195,241,366,862,1228,136,369,502
06/26/2026,146,519,665,106,390,496,0,0,0,0,0,0,47,337,384,38,200,238,296,1034,1330,124,465,588
06/27/2026,99,443,542,72,324,393,0,0,0,0,0,0,44,234,278,37,152,189,212,903,1115,84,401,480
06/28/2026,81,334,415,49,256,304,0,0,0,0,0,0,32,248,280,25,163,188,155,729,884,60,329,388
06/29/2026,161,471,632,127,351,473,0,0,0,0,0,0,62,346,408,49,215,263,410,1031,1441,141,436,571
06/30/2026,186,370,556,147,284,427,0,0,0,0,0,0,60,325,385,50,203,253,472,1005,1477,162,356,513
07/01/2026,159,345,504,136,254,387,0,0,0,0,0,0,57,296,353,47,189,235,346,863,1209,155,328,479
07/02/2026,161,352,513,126,277,403,0,0,0,0,0,0,51,277,328,39,168,206,417,897,1314,142,340,481
07/03/2026,139,366,505,108,260,368,0,0,0,0,0,0,64,339,403,50,210,260,320,971,1291,127,365,492
