LinkedIn export

Date,Overview page views (desktop),Overview page views (mobile),Overview page views (total),Overview unique visitors (desktop),Overview unique visitors (mobile),Overview unique visitors (total),Life page views (desktop),Life page views (mobile),Life page views (total),Life unique visitors (desktop),Life unique visitors (mobile),Life unique visitors (total),Jobs page views (desktop),Jobs page views (mobile),Jobs page views (total),Jobs unique visitors (desktop),Jobs unique visitors (mobile),Jobs unique visitors (total),Total page views (desktop),Total page views (mobile),Total page views (total),Total unique visitors (desktop),Total unique visitors (mobile),Total unique visitors (total)
08/24/2025,451,1332,1783,307,1032,1317,0,0,0,0,0,0,192,978,1170,147,675,815,857,3146,4003,313,1232,1520
08/25/2025,434,942,1376,324,687,1002,0,0,0,0,0,0,165,746,911,129,522,648,876,2273,3149,336,851,1177
08/26/2025,364,500,864,237,388,623,0,0,0,0,0,0,100,502,602,80,341,418,780,1348,2128,245,563,802
08/27/2025,236,463,699,174,338,511,0,0,0,0,0,0,86,547,633,72,329,399,487,1291,1778,184,498,680
08/28/2025,313,519,832,215,381,591,0,0,0,0,0,0,117,616,733,86,350,436,776,1472,2248,229,555,777
08/29/2025,216,413,629,162,302,461,0,0,0,0,0,0,58,442,500,52,253,304,535,1113,1648,172,425,592
08/30/2025,111,322,433,93,246,339,0,0,0,0,0,0,37,364,401,33,215,248,211,955,1166,96,363,457
08/31/2025,170,473,643,118,350,463,0,0,0,0,0,0,82,570,652,62,338,398,417,1391,1808,121,511,624
09/01/2025,307,435,742,219,346,561,0,0,0,0,0,0,128,570,698,97,334,428,691,1308,1999,229,511,735
09/02/2025,311,532,843,227,395,619,0,0,0,0,0,0,139,607,746,115,379,493,688,1487,2175,247,597,839
09/03/2025,243,480,723,168,363,530,0,0,0,0,0,0,87,519,606,66,311,377,519,1331,1850,179,508,686
09/04/2025,306,538,844,209,432,637,0,0,0,0,0,0,105,581,686,85,335,416,694,1511,2205,225,575,793
09/05/2025,301,478,779,214,371,584,0,0,0,0,0,0,108,465,573,85,303,387,634,1327,1961,221,512,732
09/06/2025,165,446,611,122,314,434,0,0,0,0,0,0,69,520,589,60,295,352,356,1308,1664,129,461,584
09/07/2025,129,499,628,103,387,488,0,0,0,0,0,0,65,496,561,48,282,329,329,1271,1600,115,505,618
09/08/2025,309,547,856,242,426,663,0,0,0,0,0,0,102,733,835,87,382,467,617,1659,2276,257,622,873
09/09/2025,290,497,787,209,374,579,0,0,0,0,0,0,101,615,716,82,316,397,636,1404,2040,224,548,768
09/10/2025,221,468,689,175,357,529,0,0,0,0,0,0,65,469,534,57,289,346,469,1242,1711,185,494,675
09/11/2025,277,482,759,197,373,569,0,0,0,0,0,0,91,521,612,73,320,392,621,1327,1948,207,541,746
09/12/2025,196,445,641,156,330,485,0,0,0,0,0,0,72,489,561,59,285,342,433,1224,1657,171,464,633
09/13/2025,196,499,695,153,391,537,0,0,0,0,0,0,106,518,624,82,285,363,475,1306,1781,162,524,678
09/14/2025,217,713,930,155,550,699,0,0,0,0,0,0,97,711,808,83,420,501,479,1781,2260,161,701,855
09/15/2025,432,897,1329,344,705,1046,0,0,0,0,0,0,150,983,1133,125,500,625,864,2304,3168,358,888,1243
09/16/2025,293,591,884,209,462,668,0,0,0,0,0,0,102,812,914,81,368,445,578,1752,2330,219,621,834
09/17/2025,199,497,696,149,366,515,0,0,0,0,0,0,65,669,734,56,313,369,438,1465,1903,156,523,679
09/18/2025,299,447,746,217,367,580,0,0,0,0,0,0,100,635,735,81,309,389,633,1404,2037,229,515,738
09/19/2025,272,474,746,184,356,536,0,0,0,0,0,0,106,669,775,77,296,366,594,1408,2002,202,490,682
09/20/2025,145,387,532,101,296,393,0,0,0,0,0,0,65,525,590,58,244,299,317,1151,1468,109,411,516
09/21/2025,82,325,407,62,262,322,0,0,0,0,0,0,38,402,440,27,210,235,159,904,1063,64,353,414
09/22/2025,215,467,682,170,343,511,0,0,0,0,0,0,91,605,696,73,293,365,526,1405,1931,186,479,661
09/23/2025,301,522,823,229,391,617,0,0,0,0,0,0,113,657,770,96,351,446,622,1538,2160,245,573,812
09/24/2025,277,470,747,200,365,563,0,0,0,0,0,0,86,826,912,77,417,494,598,1608,2206,219,624,839
09/25/2025,236,432,668,175,337,511,0,0,0,0,0,0,89,514,603,72,267,337,497,1191,1688,190,470,657
09/26/2025,198,404,602,147,318,461,0,0,0,0,0,0,60,516,576,49,258,307,412,1156,1568,159,463,618
09/27/2025,98,344,442,75,282,356,0,0,0,0,0,0,37,419,456,32,225,257,221,966,1187,81,395,475
09/28/2025,87,293,380,68,232,300,0,0,0,0,0,0,46,393,439,39,188,227,212,839,1051,73,326,399
09/29/2025,279,430,709,207,333,534,0,0,0,0,0,0,118,670,788,99,351,449,626,1404,2030,246,543,783
09/30/2025,229,440,669,172,337,507,0,0,0,0,0,0,90,601,691,73,297,370,465,1297,1762,197,496,691
10/01/2025,236,325,561,165,267,432,0,0,0,0,0,0,79,460,539,68,235,303,444,995,1439,185,405,590
10/02/2025,100,282,382,79,226,305,0,0,0,0,0,0,46,390,436,38,214,252,231,874,1105,85,352,437
10/03/2025,191,296,487,136,235,367,0,0,0,0,0,0,56,438,494,46,220,264,388,938,1326,149,363,507
10/04/2025,123,315,438,92,259,351,0,0,0,0,0,0,54,438,492,43,232,275,254,958,1212,98,389,486
10/05/2025,98,335,433,67,249,315,0,0,0,0,0,0,50,401,451,43,210,252,212,939,1151,74,363,435
10/06/2025,232,351,583,159,282,439,0,0,0,0,0,0,74,441,515,60,235,294,517,996,1513,177,405,580
10/07/2025,284,364,648,178,267,444,0,0,0,0,0,0,90,464,554,72,235,307,591,1066,1657,202,396,597
10/08/2025,220,397,617,172,311,480,0,0,0,0,0,0,79,509,588,72,270,342,500,1187,1687,191,449,636
10/09/2025,276,426,702,197,313,506,0,0,0,0,0,0,74,493,567,61,283,341,506,1264,1770,209,460,664
10/10/2025,381,738,1119,258,583,835,0,0,0,0,0,0,103,653,756,87,387,471,732,1801,2533,280,785,1058
10/11/2025,152,453,605,106,351,455,0,0,0,0,0,0,58,431,489,47,257,304,286,1128,1414,114,484,596
10/12/2025,122,313,435,80,239,318,0,0,0,0,0,0,45,324,369,40,201,241,280,831,1111,86,347,432
10/13/2025,251,490,741,167,323,487,0,0,0,0,0,0,76,516,592,52,283,334,558,1390,1948,187,462,646
10/14/2025,220,464,684,164,361,525,0,0,0,0,0,0,76,414,490,60,262,322,481,1152,1633,175,473,648
10/15/2025,232,428,660,170,329,495,0,0,0,0,0,0,69,407,476,55,263,316,479,1083,1562,185,448,628
10/16/2025,381,740,1121,236,572,803,0,0,0,0,0,0,110,507,617,82,341,422,721,1859,2580,246,721,962
10/17/2025,288,573,861,194,417,608,0,0,0,0,0,0,79,423,502,67,287,353,649,1368,2017,201,529,725
10/18/2025,102,281,383,75,197,272,0,0,0,0,0,0,28,226,254,25,146,171,209,704,913,78,255,332
10/19/2025,84,200,284,61,156,217,0,0,0,0,0,0,39,160,199,30,119,148,173,483,656,64,221,284
10/20/2025,63,209,272,54,163,217,0,0,0,0,0,0,18,181,199,16,116,132,113,548,661,58,210,268
10/21/2025,125,211,336,99,172,270,0,0,0,0,0,0,34,212,246,28,149,177,233,561,794,101,246,346
10/22/2025,171,317,488,133,234,366,0,0,0,0,0,0,73,306,379,57,196,253,416,854,1270,144,319,462
10/23/2025,178,338,516,129,249,377,0,0,0,0,0,0,75,311,386,61,211,270,409,919,1328,151,363,510
10/24/2025,209,348,557,153,258,411,0,0,0,0,0,0,71,402,473,58,236,294,522,1024,1546,167,389,556
10/25/2025,117,389,506,97,300,397,0,0,0,0,0,0,47,301,348,39,203,242,240,1013,1253,108,415,523
10/26/2025,101,375,476,82,297,379,0,0,0,0,0,0,41,291,332,31,196,227,209,969,1178,85,396,481
