post_id,date,type,caption,url,likes,comments,views,reach,saves,shares,interactions,insights_ok
17903841326363987,2021-12-06,IMAGE,Ari in Mornington couldn't be more pleased with his very first car. And what a great choice – an ultra-reliable yet spor,https://www.instagram.com/p/CXKLelGMWmw/,20,0,0,6,3,0,23,True
18195329209123304,2021-12-04,IMAGE,"Used cars, but with that new car feeling ❤️  At CARS24, all of our cars are owned by us. They're 300-point checked, full",https://www.instagram.com/p/CXFB7FQtT52/,23,0,0,4,1,0,24,True
17868357866629104,2021-12-01,IMAGE,"This summer season we'll be curating some of Australia's best road trips for you to try. First stop, the Mornington Peni",https://www.instagram.com/p/CW9TjJmMk5i/,8,0,0,4,0,0,8,True
18177630085196484,2021-11-28,IMAGE,Erik was very excited to upgrade from his little Hyundai Getz to this much more luxurious and comfortable Audi.  Another,https://www.instagram.com/p/CW1lIezNBuv/,29,0,0,2,0,0,29,True
17989200169410352,2021-11-26,IMAGE,Manu in Southbank was very keen to finally get his first car since moving to Australia.   He took his gleaming red i30 f,https://www.instagram.com/p/CWwbgl_J_Y7/,13,0,0,3,1,0,14,True
17930969026878417,2021-11-24,IMAGE,So you love camping and off-roading? Here are 11 models you ought to consider.⁠ ⁠ 👉 Full list via link in bio,https://www.instagram.com/p/CWrR7LvrIS9/,13,0,0,3,1,0,14,True
17903550995202096,2021-11-24,CAROUSEL_ALBUM,"Sound familiar? Do your 'future self' a favour and enter to win $30,000 towards some new wheels from us, in partnership ",https://www.instagram.com/p/CWpWAGnFs7x/,26,4,0,1,4,0,34,True
18143055721209035,2021-11-24,IMAGE,We're so proud of our superstar cast of Customer Service team members!  They're constantly working hard to ensure your b,https://www.instagram.com/p/CWpUhGqtqvR/,13,0,0,1,0,0,13,True
17890617788404524,2021-11-22,IMAGE,Kristen and her partner in Brookfield were delighted with their Toyota RAV4 delivery. They jumped straight in to take it,https://www.instagram.com/p/CWmIWLPBCs0/,16,0,0,2,4,0,20,True
18141388621233437,2021-11-21,IMAGE,"'I recently bought my beautiful Scirocco from CARS24, and I have to say the service was amazing! Complimentary 12-month ",https://www.instagram.com/p/CWjjo5FLIMS/,20,0,0,1,3,0,23,True
17902569812215153,2021-11-19,IMAGE,Kate could not contain her excitement at the sight of her new Mazda CX-5.  There was lots of laughter and tears of joy ❤,https://www.instagram.com/p/CWeaAtWNoo2/,19,0,0,3,1,0,20,True
18184630147150535,2021-11-17,IMAGE,"Woo-hoo! Congratulations on your first car 🎉   Greta in Keilor was super happy to see her Yaris arrive on a bright, sunn",https://www.instagram.com/p/CWZQYaeMdcU/,18,0,0,3,3,0,21,True
17995732945389053,2021-11-16,IMAGE,Utes are a tradie's best friend 😉 ⁠ Check out our top 8 best utes.⁠ ⁠ 👉 Link in bio,https://www.instagram.com/p/CWWrkWEtO3R/,11,0,0,4,0,0,11,True
17928111667778968,2021-11-13,IMAGE,Check out which cars are selling well under the average market price right now on CARS24.  👉 Link in bio,https://www.instagram.com/p/CWMz3UhF44P/,7,0,0,5,3,0,10,True
17888852993425352,2021-11-12,IMAGE,Shannon was super pleased with the speedy delivery of her cool new Mustang. The kids are banned from bringing any snacks,https://www.instagram.com/p/CWMYaZJL4ia/,29,0,0,15,4,0,33,True
17941453750641773,2021-11-10,IMAGE,"Daniel in Geelong was stoked when his Nissan Navara arrived, just before the weekend.  He told us he's looking forward t",https://www.instagram.com/p/CWHO2dir8LE/,19,1,0,6,2,0,22,True
17915883407085000,2021-11-09,IMAGE,Automakers are scaling up their production of electric and hybrid vehicles. Here are our top 10 favourite hybrid models.,https://www.instagram.com/p/CWEqA_WNSDs/,18,0,0,3,2,0,20,True
17895447881431226,2021-11-07,IMAGE,We loved seeing Claire's ear-to-ear grin when we rolled up in North Ipswich with her new RAV4 👏,https://www.instagram.com/p/CV_gcCCAgTQ/,23,0,0,1,4,0,27,True
17958471094512994,2021-11-05,IMAGE,Bill was chuffed when he saw his shiny red Toyota RAV4 roll up on a sunny Sydney afternoon.  He found the CARS24 way of ,https://www.instagram.com/p/CV6W4ONgaw1/,19,0,0,2,0,0,19,True
17911920305162163,2021-11-03,IMAGE,"Santee from Brown Plains missed seeing the delivery of her new Toyota Kluger, but there was more than enough excitement ",https://www.instagram.com/p/CV1NQUXMoqd/,19,0,0,4,1,0,20,True
18196111387190976,2021-11-01,IMAGE,"When you order from CARS24, your car is delivered straight to your door, for FREE*!  And if, during your 7-day test-own ",https://www.instagram.com/p/CVwDu5ltkBM/,24,1,0,13,0,0,25,True
18110738488260186,2021-10-29,IMAGE,"Mia in Elsternwick was absolutely rapt with her Toyota Corolla.  It's Mia's first car, and it'll make getting to work an",https://www.instagram.com/p/CVoVQJaJ4b5/,31,0,0,7,1,0,32,True
17948864791561480,2021-10-29,IMAGE,"With lockdowns easing, we're all itching to road trip through our backyard!⁠ ⁠ To help you out, we've put together a gui",https://www.instagram.com/p/CVmL8ZVNjsX/,12,0,0,4,2,0,14,True
17877661343559815,2021-10-27,IMAGE,Our full inventory of cars have passed their all-inclusive mechanical inspections + roadworthy checks.   After our cars ,https://www.instagram.com/p/CVjLso3s0il/,12,0,0,2,0,0,12,True
17923536541899904,2021-10-26,IMAGE,Need some tips on financing your next car?⁠ ⁠ Our helpful advice will guide you through the different types of loans and,https://www.instagram.com/p/CVgm4xNrrJ6/,10,0,0,1,1,0,11,True
17948004805570220,2021-10-25,IMAGE,Tagiilima in Epping was super happy with her new Mazda CX-3 home delivery. The vibrant Soul Red even matched her Nikes!,https://www.instagram.com/p/CVeCExHrOju/,25,0,0,4,1,0,26,True
17896133393468428,2021-10-24,IMAGE,"When you go for a late night drive to meet up with friends, where do you go?  Tag the crew 👇",https://www.instagram.com/p/CVbdYXGM61I/,20,0,0,1,1,0,21,True
17957999152509460,2021-10-22,IMAGE,"Paige was very excited when her dream car – her first! – was delivered to this location.  She always wanted a Fiat 500, ",https://www.instagram.com/p/CVWTso-t_33/,22,1,0,3,1,0,24,True
17914091432087317,2021-10-20,IMAGE,Mohamed in Westlake was absolutely stoked when we arrived with his Renault Clio RS Trophy.  He was also pleased by how e,https://www.instagram.com/p/CVRKIfYBAjI/,16,0,0,5,2,0,18,True
17904921584115962,2021-10-19,IMAGE,Hey Mum and Dad! Check out our top picks for cars that make great family vehicles. ⁠ ⁠ Link in bio,https://www.instagram.com/p/CVOlUips792/,9,0,0,4,1,0,10,True
17893308815417505,2021-10-18,IMAGE,"When you buy a used car from CARS24, our Carcierge will be there to answer any questions about your new vehicle.  We'll ",https://www.instagram.com/p/CVMAlqvMviT/,34,0,0,3,0,0,34,True
