cluster,date,Cardekho,Cars24,CarWale,MFC,MTV,OLX,Spinny
P0,2025-05-01,20.1,21.1,27.4,0.4,1.1,1.4,28.5
P0,2025-05-02,19.8,21.4,26.8,0.5,1.0,1.2,29.37
P0,2025-05-03,19.8,21.2,26.8,0.4,1.3,1.3,29.23
P0,2025-05-04,20.3,20.9,27.2,0.4,1.1,1.3,28.82
P0,2025-05-05,19.7,22.1,27.6,0.4,1.1,1.3,27.79
P0,2025-05-06,19.8,22.6,28.0,0.4,1.1,1.3,26.69
P0,2025-05-07,20.2,22.5,27.6,0.4,1.0,1.4,26.89
P0,2025-05-08,19.4,23.3,28.2,0.4,0.9,1.4,26.46
P0,2025-05-09,19.2,23.1,27.9,0.4,1.0,1.5,26.87
P0,2025-05-10,19.7,22.8,27.2,0.4,1.1,1.3,27.42
P0,2025-05-11,20.7,21.4,28.0,0.3,1.2,1.4,27.14
P0,2025-05-12,20.2,22.3,28.0,0.4,1.1,1.3,26.65
P0,2025-05-13,20.3,22.3,27.7,0.5,1.1,1.4,26.71
P0,2025-05-14,20.5,22.5,27.2,0.5,1.3,1.3,26.77
P0,2025-05-15,20.1,23.3,27.2,0.4,1.0,1.2,26.75
P0,2025-05-16,21.0,21.8,28.2,0.4,1.1,1.5,26.02
P0,2025-05-17,20.6,21.8,27.9,0.4,1.4,1.4,26.54
P0,2025-05-18,20.5,21.6,27.4,0.4,1.2,1.3,27.59
P0,2025-05-19,20.4,23.2,27.0,0.4,1.2,1.4,26.36
P0,2025-05-20,20.6,22.6,27.6,0.4,1.1,1.5,26.16
P0,2025-05-21,20.2,22.9,27.8,0.5,1.1,1.3,26.18
P0,2025-05-22,20.9,21.5,30.3,0.4,1.1,1.4,24.45
P0,2025-05-23,20.9,20.7,29.2,0.4,1.2,1.2,26.47
P0,2025-05-24,20.4,21.1,28.9,0.4,1.2,1.4,26.61
P0,2025-05-25,21.2,21.1,28.4,0.4,1.0,1.3,26.69
P0,2025-05-26,19.9,22.2,28.3,0.4,1.0,1.4,26.73
P0,2025-05-27,19.9,21.8,27.8,0.4,1.1,1.3,27.76
P0,2025-05-28,20.0,21.8,27.9,0.4,1.1,1.4,27.48
P0,2025-05-29,19.7,21.4,26.8,0.5,1.1,1.4,29.26
P0,2025-05-30,19.1,21.2,25.7,0.4,1.0,1.3,31.27
P0,2025-05-31,19.6,22.1,26.6,0.5,1.3,1.4,28.67
P0,2025-06-01,19.5,20.2,26.2,0.4,1.2,1.4,31.03
P0,2025-06-02,19.9,21.8,28.1,0.4,1.2,1.4,27.19
P0,2025-06-03,19.7,19.1,27.7,0.4,0.9,1.1,31.11
P0,2025-06-04,20.7,21.2,28.2,0.4,1.1,1.2,27.08
P0,2025-06-05,20.9,21.1,28.1,0.4,1.1,1.3,27.15
P0,2025-06-06,20.3,21.4,28.6,0.4,1.2,1.2,26.97
P0,2025-06-07,20.9,20.9,28.3,0.4,1.2,1.3,26.95
P0,2025-06-08,20.8,20.7,28.7,0.4,1.2,1.3,26.91
P0,2025-06-09,20.4,22.0,27.4,0.4,1.2,1.4,27.21
P0,2025-06-10,20.1,22.3,27.8,0.4,1.1,1.3,26.94
P0,2025-06-11,20.5,21.9,28.0,0.4,1.2,1.4,26.59
P0,2025-06-12,20.0,22.1,27.3,0.3,1.1,1.3,27.82
P0,2025-06-13,20.0,22.7,27.2,0.4,1.2,1.3,27.11
P0,2025-06-14,20.6,21.2,28.1,0.4,1.2,1.2,27.14
P0,2025-06-15,20.5,21.3,28.2,0.4,1.2,1.2,27.2
P0,2025-06-16,20.3,21.9,27.6,0.5,1.1,1.3,27.23
P0,2025-06-17,20.7,21.8,27.7,0.4,1.1,1.4,26.89
P0,2025-06-18,20.6,22.0,27.5,0.5,1.1,1.3,26.94
P0,2025-06-19,20.6,21.9,28.2,0.5,1.2,1.3,26.33
P0,2025-06-20,20.0,22.1,28.0,0.4,1.2,1.4,26.83
P0,2025-06-21,20.6,21.4,28.1,0.5,1.3,1.5,26.61
P0,2025-06-22,20.9,20.8,28.7,0.4,1.1,1.4,26.56
P0,2025-06-23,20.6,22.1,27.9,0.4,1.3,1.4,26.39
P0,2025-06-24,20.5,22.3,27.9,0.4,1.2,1.3,26.34
P0,2025-06-25,20.8,22.8,27.4,0.5,1.1,1.4,26.08
P0,2025-06-26,20.3,22.9,26.7,0.4,1.1,1.3,27.23
P0,2025-06-27,20.9,22.3,27.9,0.4,1.3,1.3,25.86
P0,2025-06-28,20.7,22.0,27.8,0.5,1.3,1.4,26.27
P0,2025-06-29,20.7,21.7,28.2,0.3,1.2,1.4,26.4
P0,2025-06-30,20.6,22.4,27.3,0.5,1.1,1.4,26.63
P0,2025-07-01,20.1,23.8,26.8,0.4,1.0,1.4,26.51
P0,2025-07-02,19.9,23.4,26.1,0.4,1.0,1.5,27.63
P0,2025-07-03,19.9,23.4,26.8,0.5,1.0,1.5,26.93
P0,2025-07-04,19.8,23.1,27.6,0.4,1.1,1.4,26.64
P0,2025-07-05,20.3,22.8,26.2,0.4,1.3,1.5,27.55
P0,2025-07-06,20.7,21.8,27.4,0.4,1.2,1.4,27.13
P0,2025-07-07,20.3,22.7,27.3,0.4,1.1,1.3,26.88
P0,2025-07-08,20.4,22.2,28.1,0.5,0.9,1.4,26.43
P0,2025-07-09,20.7,21.5,28.2,0.4,1.0,1.4,26.75
P0,2025-07-10,20.9,22.2,27.9,0.4,1.1,1.3,26.32
P0,2025-07-11,20.7,22.0,27.9,0.5,1.0,1.2,26.73
P0,2025-07-12,21.0,21.2,27.9,0.5,1.3,1.3,26.81
P0,2025-07-13,21.2,21.6,28.2,0.6,1.2,1.4,25.87
P0,2025-07-14,20.3,22.5,27.2,0.7,1.1,1.2,26.85
P0,2025-07-15,21.0,20.8,30.5,0.6,1.0,1.1,25.08
P0,2025-07-16,21.1,22.0,28.6,0.4,1.0,1.2,25.76
P0,2025-07-17,21.0,22.1,28.4,0.4,1.1,1.4,25.51
P0,2025-07-18,20.8,21.9,28.0,0.5,1.0,1.3,26.5
P0,2025-07-19,20.6,22.4,28.5,0.5,1.1,1.2,25.86
P0,2025-07-20,21.4,21.4,28.3,0.4,1.1,1.4,26.02
P0,2025-07-21,21.0,22.2,28.2,0.4,1.0,1.3,25.93
P0,2025-07-22,20.9,22.0,28.6,0.4,1.1,1.3,25.67
P0,2025-07-23,21.6,22.0,28.6,0.4,1.2,1.1,25.04
P0,2025-07-24,21.4,21.9,28.2,0.4,1.0,1.3,25.72
P0,2025-07-25,20.7,22.1,29.1,0.4,1.0,1.2,25.4
P0,2025-07-26,21.1,21.6,28.5,0.3,1.2,1.1,26.18
P0,2025-07-27,21.1,21.6,28.6,0.5,1.0,1.2,26.0
P0,2025-07-28,21.1,21.8,28.6,0.4,1.1,1.3,25.74
P0,2025-07-29,21.2,22.3,28.4,0.4,1.1,1.2,25.48
P0,2025-07-30,21.0,21.8,28.5,0.4,1.0,1.4,25.86
P0,2025-07-31,20.2,22.9,27.6,0.3,1.1,1.2,26.62
P0,2025-08-01,20.5,22.4,28.2,0.4,1.0,1.2,26.35
P0,2025-08-02,21.0,22.1,28.0,0.3,1.0,1.2,26.4
P0,2025-08-03,20.9,21.4,29.5,0.4,1.1,1.3,25.54
P0,2025-08-04,20.5,21.8,29.7,0.3,1.0,1.2,25.45
P0,2025-08-05,20.4,22.2,29.4,0.4,0.9,1.2,25.43
P0,2025-08-06,20.9,22.2,29.5,0.3,1.1,1.3,24.79
P0,2025-08-07,21.4,21.2,29.4,0.4,1.0,1.2,25.38
P0,2025-08-08,21.6,20.5,30.6,0.3,1.1,1.2,24.75
P0,2025-08-09,22.4,19.5,30.6,0.5,1.1,1.3,24.55
P0,2025-08-10,21.9,20.7,29.8,0.4,1.2,1.3,24.67
P0,2025-08-11,21.4,22.1,28.9,0.4,1.1,1.3,24.89
P0,2025-08-12,21.0,22.3,29.0,0.4,1.1,1.3,24.88
P0,2025-08-13,21.2,21.7,29.6,0.4,1.0,1.3,24.78
P0,2025-08-14,21.4,21.4,29.9,0.4,1.0,1.3,24.65
P0,2025-08-15,21.7,20.2,31.5,0.3,1.1,1.3,23.96
P0,2025-08-16,21.6,20.8,30.7,0.4,1.0,1.3,24.09
P0,2025-08-17,21.7,21.0,30.2,0.3,1.0,1.3,24.54
P0,2025-08-18,21.7,21.5,29.0,0.3,1.2,1.3,25.0
P0,2025-08-19,21.3,21.7,29.3,0.4,1.1,1.4,24.83
P0,2025-08-20,21.3,22.0,29.1,0.4,1.1,1.4,24.81
P0,2025-08-21,21.4,22.2,28.8,0.3,1.2,1.2,24.79
P0,2025-08-22,20.9,22.8,28.2,0.3,1.1,1.3,25.41
P0,2025-08-23,21.4,22.5,28.1,0.4,1.1,1.2,25.28
P0,2025-08-24,22.0,21.7,29.0,0.3,1.1,1.2,24.6
P0,2025-08-25,21.5,22.9,29.2,0.4,0.9,1.2,23.94
P0,2025-08-26,21.7,22.5,29.7,0.4,1.0,1.1,23.68
P0,2025-08-27,21.5,22.3,29.5,0.3,1.0,1.1,24.4
P0,2025-08-28,21.4,22.3,29.0,0.3,1.0,1.2,24.83
P0,2025-08-29,21.3,22.2,28.4,0.4,1.0,1.3,25.39
P0,2025-08-30,22.0,21.5,28.5,0.4,1.1,1.2,25.36
P0,2025-08-31,21.9,21.9,28.4,0.2,1.0,1.3,25.17
P0,2025-09-01,21.3,23.1,28.0,0.4,0.9,1.1,25.22
P0,2025-09-02,21.0,23.4,28.2,0.2,1.0,1.2,24.96
P0,2025-09-03,26.0,17.6,36.1,0.2,0.7,1.0,18.53
